payment_id,customer_id,amount,payment_date
3192,1018,699,2021-01-29
3193,1018,699,2021-11-01
3194,1018,699,2024-07-25
3195,1018,699,2024-06-16
3196,1018,699,2021-03-29
3197,1018,699,2021-09-14
3198,1018,699,2024-10-24
3199,1018,699,2023-04-24
3200,1019,699,2024-10-08
3201,1019,699,2021-06-16
3202,1019,699,2021-11-01
3203,1019,699,2025-01-17
3204,1019,699,2024-01-15
3205,1019,699,2021-08-03
3206,1019,699,2022-04-16
3207,1019,699,2024-11-03
3208,1019,699,2021-06-15
3209,1019,699,2021-01-06
3210,1019,699,2024-01-10
3211,1019,699,2022-02-14
3212,1019,699,2022-11-02
3213,1020,999,2022-03-08
3214,1020,999,2023-05-04
3215,1020,999,2024-10-24
3216,1020,999,2021-10-22
3217,1020,999,2024-02-10
3218,1020,999,2022-06-27
3219,1020,999,2022-04-11
3220,1020,999,2021-02-03
3221,1020,999,2024-11-05
3222,1020,999,2024-12-26
3223,1020,999,2022-11-08
3224,1020,999,2024-08-05
3225,1021,499,2022-07-12
3226,1021,499,2021-07-07
3227,1021,499,2022-03-31
3228,1021,499,2024-11-06
3229,1021,499,2023-06-19
3230,1021,499,2023-04-15
3231,1021,499,2024-08-27
3232,1021,499,2022-12-22
3233,1022,499,2023-02-17
3234,1022,499,2024-06-28
3235,1022,499,2024-08-27
3236,1022,499,2021-04-14
3237,1022,499,2022-04-11
3238,1022,499,2023-03-14
3239,1022,499,2023-12-11
3240,1022,499,2023-08-15
3241,1023,699,2024-10-24
3242,1023,699,2023-01-11
3243,1023,699,2022-05-10
3244,1023,699,2021-06-14
3245,1023,699,2023-08-26
3246,1023,699,2021-06-26
3247,1023,699,2022-10-08
3248,1023,699,2023-09-02
3249,1023,699,2021-02-09
3250,1023,699,2024-11-16
3251,1024,999,2021-11-19
3252,1024,999,2022-07-15
3253,1024,999,2021-09-07
3254,1024,999,2024-02-25
3255,1024,999,2023-01-12
3256,1024,999,2021-04-16
3257,1024,999,2024-02-09
3258,1024,999,2023-02-28
3259,1024,999,2022-03-06
3260,1024,999,2022-11-10
3261,1024,999,2024-02-02
3262,1024,999,2021-02-02
3263,1024,999,2024-07-29
3264,1025,699,2025-01-16
3265,1025,699,2024-12-02
3266,1025,699,2024-01-05
3267,1025,699,2024-09-27
3268,1025,699,2022-12-19
3269,1025,699,2022-12-25
3270,1025,699,2024-07-23
3271,1025,699,2021-03-02
3272,1026,699,2024-06-05
3273,1026,699,2024-04-24
3274,1026,699,2021-01-27
3275,1026,699,2025-02-06
3276,1026,699,2023-01-29
3277,1026,699,2022-01-27
3278,1026,699,2023-02-07
3279,1026,699,2023-06-20
3280,1027,699,2023-10-18
3281,1027,699,2024-08-10
3282,1027,699,2025-02-01
3283,1027,699,2021-10-14
3284,1027,699,2025-01-08
3285,1027,699,2023-08-14
3286,1027,699,2024-09-19
3287,1027,699,2024-10-27
3288,1028,699,2024-04-03
3289,1028,699,2021-08-27
3290,1028,699,2024-07-22
3291,1028,699,2022-02-18
3292,1028,699,2023-11-07
3293,1028,699,2022-01-05
3294,1028,699,2022-12-08
3295,1028,699,2023-01-17
3296,1028,699,2022-02-20
3297,1028,699,2021-12-14
3298,1028,699,2021-08-11
3299,1029,499,2023-09-26
3300,1029,499,2022-01-02
3301,1029,499,2023-01-08
3302,1029,499,2024-06-20
3303,1029,499,2022-01-25
3304,1029,499,2022-02-04
3305,1029,499,2024-03-09
3306,1029,499,2024-04-14
3307,1029,499,2021-03-06
3308,1029,499,2024-02-06
3309,1029,499,2023-10-25
3310,1030,699,2024-07-07
3311,1030,699,2023-11-18
3312,1030,699,2023-08-30
3313,1030,699,2024-01-29
3314,1030,699,2024-07-17
3315,1030,699,2023-04-13
3316,1030,699,2021-03-19
3317,1030,699,2022-03-15
3318,1031,699,2021-10-15
3319,1031,699,2022-02-07
3320,1031,699,2022-10-15
3321,1031,699,2025-01-28
3322,1031,699,2021-04-12
3323,1031,699,2022-01-30
3324,1031,699,2022-11-25
3325,1031,699,2023-09-17
3326,1031,699,2022-10-25
3327,1031,699,2022-11-11
3328,1031,699,2023-06-06
3329,1031,699,2024-08-04
3330,1031,699,2022-07-05
3331,1031,699,2024-07-23
3332,1032,699,2022-02-10
3333,1032,699,2024-06-13
3334,1032,699,2023-05-03
3335,1032,699,2022-02-28
3336,1032,699,2024-10-06
3337,1032,699,2023-01-07
3338,1032,699,2022-09-07
3339,1032,699,2022-11-14
3340,1032,699,2024-11-21
3341,1032,699,2021-01-08
3342,1032,699,2022-08-05
3343,1033,699,2024-03-24
3344,1033,699,2023-05-25
3345,1033,699,2021-01-25
3346,1033,699,2021-05-16
3347,1033,699,2024-10-25
3348,1033,699,2023-11-08
3349,1033,699,2023-10-15
3350,1033,699,2021-01-14
3351,1033,699,2023-05-12
3352,1033,699,2024-03-04
3353,1033,699,2024-10-26
3354,1033,699,2023-06-17
3355,1033,699,2023-09-20
3356,1033,699,2022-03-30
3357,1033,699,2024-03-31
3358,1034,499,2024-06-22
3359,1034,499,2024-04-21
3360,1034,499,2023-09-18
3361,1034,499,2024-04-06
3362,1034,499,2021-01-14
3363,1034,499,2022-07-16
3364,1034,499,2024-04-04
3365,1034,499,2023-01-29
3366,1034,499,2022-05-26
3367,1034,499,2021-06-14
3368,1034,499,2022-10-16
3369,1034,499,2024-10-31
3370,1034,499,2024-05-14
3371,1035,699,2021-05-10
3372,1035,699,2021-09-30
3373,1035,699,2021-02-08
3374,1035,699,2021-07-13
3375,1035,699,2024-02-05
3376,1035,699,2022-10-21
3377,1035,699,2024-03-16
3378,1035,699,2023-11-03
3379,1035,699,2021-01-21
3380,1035,699,2021-08-24
3381,1035,699,2022-10-17
3382,1035,699,2021-01-02
3383,1035,699,2024-01-16
3384,1036,699,2022-08-06
3385,1036,699,2021-05-22
3386,1036,699,2022-10-11
3387,1036,699,2021-01-01
3388,1036,699,2021-01-10
3389,1036,699,2023-10-13
3390,1036,699,2021-11-01
3391,1036,699,2023-11-28
3392,1036,699,2021-12-19
3393,1036,699,2021-02-07
3394,1036,699,2024-04-20
3395,1036,699,2021-05-19
3396,1036,699,2022-11-26
3397,1037,499,2023-05-05
3398,1037,499,2024-10-07
3399,1037,499,2022-05-08
3400,1037,499,2021-06-23
3401,1037,499,2021-02-12
3402,1037,499,2022-02-10
3403,1037,499,2022-02-10
3404,1037,499,2022-07-23
3405,1037,499,2021-06-01
3406,1037,499,2021-07-16
3407,1037,499,2023-11-10
3408,1037,499,2024-04-13
3409,1038,499,2022-10-20
3410,1038,499,2024-12-20
3411,1038,499,2022-03-03
3412,1038,499,2022-08-22
3413,1038,499,2023-06-09
3414,1038,499,2021-12-04
3415,1038,499,2021-08-21
3416,1038,499,2022-02-04
3417,1039,699,2023-11-21
3418,1039,699,2021-04-04
3419,1039,699,2025-01-05
3420,1039,699,2024-10-03
3421,1039,699,2022-07-25
3422,1039,699,2023-08-13
3423,1039,699,2022-02-26
3424,1039,699,2024-09-06
3425,1039,699,2023-02-16
3426,1039,699,2022-04-23
3427,1040,499,2021-08-28
3428,1040,499,2023-09-15
3429,1040,499,2024-05-10
3430,1040,499,2024-01-18
3431,1040,499,2021-10-23
3432,1040,499,2022-10-31
3433,1040,499,2021-09-27
3434,1040,499,2025-01-28
3435,1040,499,2022-02-23
3436,1040,499,2022-05-09
3437,1040,499,2025-02-02
3438,1040,499,2022-06-03
3439,1040,499,2023-01-10
3440,1041,999,2023-07-04
3441,1041,999,2024-03-27
3442,1041,999,2021-04-05
3443,1041,999,2021-12-04
3444,1041,999,2022-11-10
3445,1041,999,2022-05-01
3446,1041,999,2024-07-31
3447,1041,999,2024-09-25
3448,1041,999,2022-05-27
3449,1041,999,2024-12-09
3450,1041,999,2022-08-06
3451,1041,999,2023-12-10
3452,1041,999,2021-11-27
3453,1042,699,2021-10-08
3454,1042,699,2022-08-20
3455,1042,699,2024-02-08
3456,1042,699,2021-06-06
3457,1042,699,2022-04-03
3458,1042,699,2023-07-27
3459,1042,699,2021-10-21
3460,1042,699,2024-07-08
3461,1042,699,2023-09-23
3462,1042,699,2022-10-02
3463,1042,699,2024-04-21
3464,1042,699,2023-10-30
3465,1042,699,2021-02-27
3466,1042,699,2021-02-09
3467,1042,699,2023-04-15
3468,1043,699,2022-11-22
3469,1043,699,2024-01-17
3470,1043,699,2024-04-14
3471,1043,699,2022-12-06
3472,1043,699,2022-10-18
3473,1043,699,2022-04-20
3474,1043,699,2021-07-21
3475,1043,699,2021-03-01
3476,1043,699,2023-06-13
3477,1043,699,2021-02-25
3478,1043,699,2022-08-23
3479,1043,699,2023-07-04
3480,1044,999,2023-11-08
3481,1044,999,2021-02-07
3482,1044,999,2023-09-02
3483,1044,999,2022-06-20
3484,1044,999,2021-08-09
3485,1044,999,2021-06-20
3486,1044,999,2023-09-15
3487,1044,999,2021-08-26
3488,1044,999,2024-07-08
3489,1044,999,2022-10-29
3490,1045,499,2021-07-06
3491,1045,499,2024-12-09
3492,1045,499,2021-02-13
3493,1045,499,2021-07-15
3494,1045,499,2023-02-03
3495,1045,499,2025-02-04
3496,1045,499,2022-06-28
3497,1045,499,2021-09-05
3498,1045,499,2023-08-29
3499,1045,499,2023-08-04
3500,1045,499,2021-10-31
3501,1045,499,2023-02-10
3502,1045,499,2023-04-20
3503,1045,499,2024-05-24
3504,1045,499,2021-09-24
3505,1046,499,2021-05-22
3506,1046,499,2021-11-26
3507,1046,499,2022-07-23
3508,1046,499,2021-05-24
3509,1046,499,2023-05-02
3510,1046,499,2024-09-01
3511,1046,499,2021-06-09
3512,1046,499,2024-07-22
3513,1046,499,2022-08-27
3514,1046,499,2021-07-23
3515,1047,499,2023-07-03
3516,1047,499,2022-03-24
3517,1047,499,2022-11-09
3518,1047,499,2024-04-07
3519,1047,499,2023-05-12
3520,1047,499,2023-04-08
3521,1047,499,2022-04-20
3522,1047,499,2023-10-06
3523,1047,499,2021-05-22
3524,1047,499,2021-08-11
3525,1047,499,2024-08-24
3526,1047,499,2024-04-12
3527,1047,499,2021-03-05
3528,1048,999,2024-10-21
3529,1048,999,2022-04-04
3530,1048,999,2025-01-31
3531,1048,999,2022-08-22
3532,1048,999,2023-03-20
3533,1048,999,2021-06-15
3534,1048,999,2022-11-21
3535,1048,999,2022-04-11
3536,1048,999,2023-04-20
3537,1048,999,2024-04-24
3538,1048,999,2024-04-09
3539,1048,999,2024-03-08
3540,1048,999,2021-12-11
3541,1048,999,2022-02-16
3542,1049,699,2022-10-17
3543,1049,699,2024-05-26
3544,1049,699,2023-08-28
3545,1049,699,2023-12-12
3546,1049,699,2023-12-25
3547,1049,699,2022-09-20
3548,1049,699,2021-01-31
3549,1049,699,2022-03-28
3550,1050,999,2022-04-26
3551,1050,999,2021-10-27
3552,1050,999,2023-03-04
3553,1050,999,2024-12-18
3554,1050,999,2022-09-02
3555,1050,999,2022-03-22
3556,1050,999,2023-02-13
3557,1050,999,2021-07-23
3558,1050,999,2022-11-13
3559,1050,999,2024-07-29
3560,1050,999,2022-05-06
3561,1051,699,2022-10-27
3562,1051,699,2021-09-12
3563,1051,699,2023-05-09
3564,1051,699,2021-04-10
3565,1051,699,2024-07-28
3566,1051,699,2021-08-07
3567,1051,699,2024-05-15
3568,1051,699,2021-09-19
3569,1051,699,2022-09-20
3570,1052,999,2024-08-20
3571,1052,999,2022-11-23
3572,1052,999,2024-08-06
3573,1052,999,2023-06-11
3574,1052,999,2023-12-28
3575,1052,999,2024-08-15
3576,1052,999,2023-03-14
3577,1052,999,2021-07-06
3578,1052,999,2022-02-18
3579,1052,999,2024-01-19
3580,1053,699,2024-03-03
3581,1053,699,2024-04-06
3582,1053,699,2022-10-16
3583,1053,699,2022-04-21
3584,1053,699,2022-04-16
3585,1053,699,2023-06-02
3586,1053,699,2023-08-02
3587,1053,699,2022-02-21
3588,1053,699,2023-05-18
3589,1053,699,2024-09-18
3590,1053,699,2023-12-24
3591,1053,699,2024-07-05
3592,1054,699,2023-09-15
3593,1054,699,2021-01-04
3594,1054,699,2022-08-09
3595,1054,699,2021-12-31
3596,1054,699,2024-10-25
3597,1054,699,2024-07-22
3598,1054,699,2025-01-24
3599,1054,699,2021-08-10
3600,1054,699,2021-11-08
3601,1054,699,2023-08-02
3602,1054,699,2022-02-02
3603,1055,699,2023-03-28
3604,1055,699,2023-05-22
3605,1055,699,2024-05-30
3606,1055,699,2022-08-03
3607,1055,699,2023-03-10
3608,1055,699,2024-09-19
3609,1055,699,2021-11-03
3610,1055,699,2021-05-30
3611,1055,699,2021-07-12
3612,1056,499,2022-06-09
3613,1056,499,2023-08-28
3614,1056,499,2022-05-30
3615,1056,499,2021-05-18
3616,1056,499,2023-11-07
3617,1056,499,2025-01-09
3618,1056,499,2024-04-18
3619,1056,499,2024-06-14
3620,1056,499,2021-01-02
3621,1056,499,2022-02-16
3622,1056,499,2021-09-28
3623,1056,499,2024-09-30
3624,1056,499,2023-01-22
3625,1056,499,2021-01-21
3626,1057,499,2024-12-09
3627,1057,499,2022-10-02
3628,1057,499,2023-12-10
3629,1057,499,2021-10-19
3630,1057,499,2023-03-24
3631,1057,499,2023-01-25
3632,1057,499,2023-06-29
3633,1057,499,2023-11-20
3634,1057,499,2021-08-26
3635,1057,499,2023-02-12
3636,1057,499,2024-06-02
3637,1057,499,2024-04-04
3638,1057,499,2022-07-14
3639,1057,499,2023-03-17
3640,1058,699,2024-01-03
3641,1058,699,2024-01-10
3642,1058,699,2023-03-08
3643,1058,699,2021-02-23
3644,1058,699,2021-02-20
3645,1058,699,2021-06-22
3646,1058,699,2022-08-26
3647,1058,699,2021-03-19
3648,1058,699,2024-06-27
3649,1058,699,2021-11-28
3650,1058,699,2022-06-15
3651,1058,699,2022-12-10
3652,1058,699,2022-09-19
3653,1058,699,2022-09-03
3654,1058,699,2023-08-21
3655,1059,499,2023-05-16
3656,1059,499,2021-09-05
3657,1059,499,2024-07-29
3658,1059,499,2021-04-26
3659,1059,499,2022-06-06
3660,1059,499,2023-01-25
3661,1059,499,2023-11-26
3662,1059,499,2021-05-19
3663,1059,499,2025-01-01
3664,1059,499,2022-02-24
3665,1059,499,2023-01-01
3666,1059,499,2022-03-15
3667,1059,499,2021-04-19
3668,1060,999,2021-07-12
3669,1060,999,2021-07-10
3670,1060,999,2023-11-16
3671,1060,999,2021-02-02
3672,1060,999,2023-04-01
3673,1060,999,2023-11-29
3674,1060,999,2023-04-01
3675,1060,999,2022-12-26
3676,1060,999,2021-11-09
3677,1060,999,2023-02-08
3678,1060,999,2022-11-10
3679,1060,999,2022-07-24
3680,1061,499,2024-02-19
3681,1061,499,2021-03-10
3682,1061,499,2022-09-12
3683,1061,499,2022-08-02
3684,1061,499,2024-04-12
3685,1061,499,2021-06-24
3686,1061,499,2022-10-07
3687,1061,499,2021-06-14
3688,1061,499,2023-12-10
3689,1061,499,2022-12-05
3690,1062,999,2022-04-20
3691,1062,999,2024-05-13
3692,1062,999,2022-08-12
3693,1062,999,2021-07-10
3694,1062,999,2022-12-24
3695,1062,999,2024-10-10
3696,1062,999,2021-06-09
3697,1062,999,2024-04-18
3698,1062,999,2024-09-13
3699,1062,999,2022-12-17
3700,1062,999,2023-05-09
3701,1062,999,2022-11-29
3702,1063,499,2021-12-01
3703,1063,499,2021-10-30
3704,1063,499,2022-10-26
3705,1063,499,2023-08-28
3706,1063,499,2022-05-06
3707,1063,499,2021-02-16
3708,1063,499,2023-02-07
3709,1063,499,2021-05-10
3710,1063,499,2021-11-10
3711,1063,499,2022-05-11
3712,1063,499,2021-02-28
3713,1063,499,2024-10-08
3714,1063,499,2024-02-28
3715,1063,499,2021-03-18
3716,1063,499,2023-08-07
3717,1064,699,2021-08-21
3718,1064,699,2021-02-12
3719,1064,699,2022-05-23
3720,1064,699,2021-04-22
3721,1064,699,2021-03-09
3722,1064,699,2024-11-08
3723,1064,699,2022-10-23
3724,1064,699,2021-11-26
3725,1064,699,2024-07-22
3726,1064,699,2025-01-25
3727,1064,699,2023-11-15
3728,1064,699,2024-07-02
3729,1064,699,2024-05-24
3730,1064,699,2023-12-09
3731,1064,699,2024-03-30
3732,1065,699,2023-05-29
3733,1065,699,2023-12-15
3734,1065,699,2024-06-16
3735,1065,699,2023-08-05
3736,1065,699,2023-12-28
3737,1065,699,2024-03-12
3738,1065,699,2022-05-31
3739,1065,699,2021-10-15
3740,1065,699,2021-12-07
3741,1065,699,2022-03-26
3742,1065,699,2025-01-20
3743,1065,699,2023-10-02
3744,1066,999,2023-12-29
3745,1066,999,2024-09-07
3746,1066,999,2023-02-20
3747,1066,999,2024-09-06
3748,1066,999,2024-01-30
3749,1066,999,2023-02-23
3750,1066,999,2021-06-08
3751,1066,999,2024-09-03
3752,1066,999,2024-04-14
3753,1066,999,2023-02-20
3754,1066,999,2024-08-31
3755,1067,999,2024-07-20
3756,1067,999,2021-05-09
3757,1067,999,2024-07-16
3758,1067,999,2025-01-20
3759,1067,999,2021-01-19
3760,1067,999,2021-03-08
3761,1067,999,2021-04-27
3762,1067,999,2024-12-26
3763,1068,699,2024-03-22
3764,1068,699,2024-08-27
3765,1068,699,2024-05-08
3766,1068,699,2024-07-12
3767,1068,699,2021-01-31
3768,1068,699,2024-05-28
3769,1068,699,2021-09-15
3770,1068,699,2024-05-14
3771,1068,699,2021-02-25
3772,1068,699,2021-07-28
3773,1068,699,2023-06-20
3774,1068,699,2022-02-19
3775,1069,999,2021-02-10
3776,1069,999,2024-07-27
3777,1069,999,2023-11-25
3778,1069,999,2023-12-19
3779,1069,999,2024-08-09
3780,1069,999,2024-07-31
3781,1069,999,2021-02-02
3782,1069,999,2023-09-30
3783,1069,999,2024-03-14
3784,1070,999,2022-10-29
3785,1070,999,2025-01-27
3786,1070,999,2023-08-23
3787,1070,999,2022-04-23
3788,1070,999,2024-01-24
3789,1070,999,2023-04-28
3790,1070,999,2022-06-20
3791,1070,999,2023-08-06
3792,1070,999,2023-04-16
3793,1070,999,2022-03-15
3794,1071,999,2021-02-24
3795,1071,999,2024-08-30
3796,1071,999,2023-08-22
3797,1071,999,2024-03-09
3798,1071,999,2024-09-22
3799,1071,999,2025-01-25
3800,1071,999,2023-01-01
3801,1071,999,2022-06-12
3802,1072,499,2024-12-21
3803,1072,499,2022-09-05
3804,1072,499,2023-08-23
3805,1072,499,2024-12-28
3806,1072,499,2023-06-18
3807,1072,499,2022-01-06
3808,1072,499,2024-09-21
3809,1072,499,2023-07-12
3810,1072,499,2025-02-01
3811,1072,499,2024-06-09
3812,1072,499,2021-06-10
3813,1072,499,2021-08-13
3814,1073,499,2024-10-21
3815,1073,499,2023-12-23
3816,1073,499,2023-11-07
3817,1073,499,2022-12-20
3818,1073,499,2024-02-05
3819,1073,499,2024-12-02
3820,1073,499,2023-03-29
3821,1073,499,2024-08-19
3822,1073,499,2021-03-20
3823,1073,499,2023-03-08
3824,1073,499,2024-03-25
3825,1073,499,2024-01-05
3826,1073,499,2023-09-05
3827,1074,999,2021-06-03
3828,1074,999,2024-11-08
3829,1074,999,2021-11-09
3830,1074,999,2024-04-05
3831,1074,999,2023-10-10
3832,1074,999,2025-01-31
3833,1074,999,2022-01-23
3834,1074,999,2024-05-11
3835,1074,999,2021-12-22
3836,1074,999,2024-01-01
3837,1075,699,2022-01-05
3838,1075,699,2022-05-15
3839,1075,699,2024-08-01
3840,1075,699,2022-08-23
3841,1075,699,2021-04-03
3842,1075,699,2021-07-29
3843,1075,699,2023-09-24
3844,1075,699,2024-07-20
3845,1075,699,2024-11-29
3846,1075,699,2024-10-10
3847,1075,699,2024-06-24
3848,1075,699,2022-03-06
3849,1075,699,2024-05-06
3850,1076,699,2023-09-11
3851,1076,699,2022-08-09
3852,1076,699,2023-12-19
3853,1076,699,2023-06-28
3854,1076,699,2022-08-11
3855,1076,699,2021-02-18
3856,1076,699,2022-05-08
3857,1076,699,2023-09-08
3858,1076,699,2023-04-15
3859,1076,699,2023-06-12
3860,1076,699,2024-08-09
3861,1076,699,2021-02-09
3862,1076,699,2021-12-12
3863,1077,499,2024-05-04
3864,1077,499,2024-04-08
3865,1077,499,2021-06-04
3866,1077,499,2021-08-20
3867,1077,499,2021-07-10
3868,1077,499,2022-02-15
3869,1077,499,2023-05-31
3870,1077,499,2022-07-03
3871,1077,499,2022-03-18
3872,1077,499,2023-06-30
3873,1077,499,2021-09-02
3874,1078,999,2021-10-08
3875,1078,999,2022-12-18
3876,1078,999,2022-11-01
3877,1078,999,2022-01-30
3878,1078,999,2023-05-13
3879,1078,999,2022-12-17
3880,1078,999,2024-12-19
3881,1078,999,2022-12-31
3882,1078,999,2022-04-17
3883,1078,999,2023-07-01
3884,1078,999,2023-08-14
3885,1079,999,2023-09-19
3886,1079,999,2021-11-12
3887,1079,999,2021-07-18
3888,1079,999,2022-05-20
3889,1079,999,2022-05-28
3890,1079,999,2021-04-19
3891,1079,999,2021-01-12
3892,1079,999,2021-08-25
3893,1079,999,2024-07-28
3894,1079,999,2022-01-23
3895,1079,999,2021-12-29
3896,1079,999,2021-07-13
3897,1080,999,2022-10-15
3898,1080,999,2024-05-31
3899,1080,999,2024-06-03
3900,1080,999,2024-08-30
3901,1080,999,2022-04-22
3902,1080,999,2023-12-24
3903,1080,999,2022-09-16
3904,1080,999,2021-09-04
3905,1080,999,2022-02-08
3906,1080,999,2021-05-14
3907,1080,999,2022-04-11
3908,1080,999,2022-10-26
3909,1080,999,2023-10-02
3910,1080,999,2022-03-15
3911,1081,699,2022-04-04
3912,1081,699,2022-03-19
3913,1081,699,2022-07-17
3914,1081,699,2022-04-11
3915,1081,699,2022-01-29
3916,1081,699,2024-03-04
3917,1081,699,2023-05-25
3918,1081,699,2021-01-07
3919,1081,699,2021-12-07
3920,1081,699,2021-07-02
3921,1081,699,2021-06-12
3922,1081,699,2021-10-11
3923,1081,699,2023-10-07
3924,1082,499,2023-02-19
3925,1082,499,2024-05-29
3926,1082,499,2023-09-08
3927,1082,499,2023-11-21
3928,1082,499,2021-11-10
3929,1082,499,2024-03-14
3930,1082,499,2022-02-21
